vessel_id,vessel_name,dwt_mt,hire_rate_usd_per_day,econ_speed_laden_kn,econ_speed_ballast_kn,warranted_speed_laden_kn,warranted_speed_ballast_kn,econ_fuel_laden_vlsf_mt_per_day,econ_fuel_laden_mgo_mt_per_day,econ_fuel_ballast_vlsf_mt_per_day,econ_fuel_ballast_mgo_mt_per_day,warranted_fuel_laden_vlsf_mt_per_day,warranted_fuel_laden_mgo_mt_per_day,warranted_fuel_ballast_vlsf_mt_per_day,warranted_fuel_ballast_mgo_mt_per_day,port_idle_mgo_mt_per_day,port_working_mgo_mt_per_day,current_port,current_region,etd_date,rob_vlsf_mt,rob_mgo_mt
mv_1,ATLANTIC FORTUNE,181200, -   ,12.3,12.9,13.8,14.6,43,2,12.9,2,13.8,2,14.6,2,2,3,PARADIP,INDIA,2/3/2026,512.4,38.9
mv_2,PACIFIC VANGUARD,182050, -   ,12,12.5,13.6,14.3,42,1.9,12.5,1.9,13.6,1.9,14.3,1.9,1.9,3,CAOFEIDIAN,CHINA,26/2/2026,420.3,51
mv_3,CORAL EMPEROR,180450, -   ,11.9,12.3,13.4,14.1,40,2,12.3,2,13.4,2,14.1,2,2,3.1,ROTTERDAM,EUROPE,5/3/2026,601.7,42.3
mv_4,EVERESET OCEAN,179950, -   ,12.4,12.8,13.7,14.5,43.5,1.9,12.8,1.9,13.7,1.9,14.5,1.9,1.8,3,XIAMEN,CHINA,3/3/2026,478.2,56.4
mv_5,POLARIS SPIRIT,181600, -   ,12.5,13,13.9,14.7,44,1.9,13,1.9,13.9,1.9,14.7,1.9,2,3.1,KANDLA,INDIA,28/2/2026,529.8,47.1
mv_6,IRON CENTURY,182100, -   ,12,12.5,13.5,14.2,41,2.1,12.5,2.1,13.5,2.1,14.2,2.1,2.1,3.2,PORT TALBOT,EUROPE,9/3/2026,365.6,60.7
mv_7,MOUNTAIN TRADER,180890, -   ,12.1,12.6,13.3,14,42,2,12.6,2,13.3,2,14,2,2,3.1,GWANGYANG,KOREA,6/3/2026,547.1,32.4
mv_8,NAVIS PRIDE,181400, -   ,12.6,13,13.8,14.5,44,1.8,13,1.8,13.8,1.8,14.5,1.8,1.8,3,MUNDRA,INDIA,7/3/2026,493.8,45.2
mv_9,AURORA SKY,179880, -   ,12,12.5,13.4,14.1,41,2,12.5,2,13.4,2,14.1,2,2,3.1,JINGTANG,CHINA,4/3/2026,422.7,29.8
mv_10,ZENITH GLORY,182500, -   ,12.4,12.9,13.9,14.6,43.5,1.9,12.9,1.9,13.9,1.9,14.6,1.9,1.9,3.1,VIZAG,INDIA,7/3/2026,502.3,44.6
mv_11,TITAN LEGACY,180650, -   ,12.2,12.7,13.5,14.2,42,2,12.7,2,13.5,2,14.2,2,2,3,JUBAIL,MIDDLE_EAST,1/3/2026,388.5,53.1
